location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201212T1600,8.960529,74.0,10.805998,240.01837
20201212T1700,8.370529,80.0,8.427383,250.0169
20201212T1800,8.060529,85.0,9.227524,249.44395
20201212T1900,8.020529,86.0,12.864649,252.07208
20201212T2000,7.9205284,86.0,12.496719,258.36636
20201212T2100,7.8305287,88.0,10.703569,250.34618
20201212T2200,7.7205286,89.0,9.983106,244.359
20201212T2300,7.790529,90.0,12.224107,256.37302
20201213T0000,7.6305285,89.0,18.0036,271.14575
20201213T0100,7.4605284,89.0,22.505037,277.3524
20201213T0200,6.9105287,86.0,21.129883,283.7995
20201213T0300,6.3905287,92.0,10.538843,277.85333
20201213T0400,6.790529,90.0,14.759999,270.0
20201213T0500,6.1305285,90.0,19.813087,267.91745
20201213T0600,5.8205285,88.0,20.880001,270.0
20201213T0700,5.2105284,88.0,20.172853,267.9546
20201213T0800,4.8205285,88.0,17.771753,263.01895
20201213T0900,4.9605284,86.0,17.462784,261.70285
20201213T1000,5.3305287,83.0,18.888851,262.3332
20201213T1100,5.5705285,81.0,17.673029,266.49646
20201213T1200,6.2105284,78.0,15.4800005,270.0
20201213T1300,7.5305285,73.0,8.64,270.0
20201213T1400,7.8005285,72.0,5.04,270.0
20201213T1500,7.8605285,72.0,1.4399999,270.0
20201213T1600,7.6405287,73.0,3.4152596,71.56504
20201213T1700,7.2405286,75.0,7.2805495,81.46923
20201213T1800,6.5905285,79.0,7.072878,104.74355
20201213T1900,5.1905284,84.0,8.404285,136.7357
20201213T2000,4.4505286,83.0,8.854829,153.43495
20201213T2100,4.3005285,84.0,9.793059,143.97263
20201213T2200,4.2605286,85.0,8.404285,133.26428
20201213T2300,4.2305284,86.0,9.085988,123.69006
20201214T0000,4.7705283,83.0,10.799999,126.869896
20201214T0100,3.7605286,85.0,9.387651,122.47119
20201214T0200,3.4105287,87.0,11.4862,122.19573
20201214T0300,3.4505286,86.0,12.904882,120.14138
20201214T0400,3.4805286,89.0,13.397612,120.69972
20201214T0500,3.5505285,90.0,12.413477,119.53878
20201214T0600,2.9505286,94.0,12.7279215,118.73979
20201214T0700,3.5805285,89.0,14.168641,117.21611
20201214T0800,3.4005284,88.0,13.849477,117.89726
20201214T0900,3.6405284,84.0,13.849477,117.89726
20201214T1000,5.2205286,82.0,14.372974,112.0679
20201214T1100,8.070529,71.0,15.256526,109.29004
20201214T1200,10.230529,67.0,14.707222,111.54097
20201214T1300,10.5505295,64.0,16.24394,102.80426
20201214T1400,12.130529,58.0,15.827721,107.19854
